JW Temp,Oil Temp,Exh Right Temp,Exh Left Temp,Exh Cyl #1 Temp,Exh Cyl #2 Temp,Exh Cyl #3 Temp,Exh Cyl #4 Temp,Exh Cyl #5 Temp,Exh Cyl #6 Temp
182.0827179,182.0827179,1144,1191,1148,1143,1130,1175,1184,1184
182.0827179,182.0827179,1144,1191,1148,1143,1130,1175,1184,1184
180.9496918,180.9496918,1099,1164,1151,1144,1126,1146,1155,1155
180.5052643,180.5052643,1100,1175,1154,1148,1133,1154,1164,1164
180.6859589,180.6859589,1101,1174,1155,1149,1133,1153,1164,1164
182.536911,182.536911,1126,1184,1163,1155,1140,1163,1172,1172
183.8555145,183.8555145,1164,1178,1155,1150,1136,1159,1167,1167
182.2585297,182.2585297,1107,1180,1153,1149,1136,1159,1169,1169
181.8238831,181.8238831,1103,1180,1152,1147,1138,1160,1168,1168
180.9399261,180.9399261,1104,1180,1151,1146,1134,1157,1168,1168
180.5003815,180.5003815,1103,1179,1150,1146,1136,1157,1169,1169
180.6761932,180.6761932,1101,1178,1154,1149,1138,1157,1169,1169
180.5003815,180.5003815,1117,1181,1156,1152,1140,1159,1170,1170
179.5334015,179.5334015,1115,1179,1158,1154,1140,1158,1168,1168
179.5285187,179.5285187,1130,1181,1157,1152,1137,1161,1171,1171
178.2050171,178.2050171,1113,1167,1150,1147,1131,1148,1157,1157
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
190.3558044,190.3558044,1152,1193,1169,1166,1151,1170,1186,1186
191.7672119,191.7672119,1158,1204,1175,1173,1160,1181,1199,1199
186.5708923,186.5708923,1141,1192,1167,1163,1151,1168,1179,1179
184.5490112,184.5490112,1143,1185,1161,1159,1145,1162,1173,1173
182.2682953,182.2634125,1131,1188,1165,1162,1149,1164,1177,1177
184.2950592,184.2950592,1147,1190,1168,1164,1152,1165,1183,1183
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
182.0973663,182.0973663,1103,1176,1153,1156,1137,1158,1162,1162
189.0615997,189.0664825,1157,1198,1165,1169,1149,1178,1194,1194
189.7599792,189.7599792,1117,1195,1150,1153,1135,1175,1193,1193
193.1102448,193.1102448,1134,1202,1152,1156,1139,1183,1199,1199
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
197.427475,197.427475,1163,1191,1165,1169,1149,1171,1185,1185
186.780899,186.780899,1102,1180,1152,1154,1135,1161,1166,1166
186.605072,186.605072,1099,1178,1157,1159,1138,1160,1162,1162
187.3034515,187.3034515,1137,1182,1161,1163,1144,1164,1169,1169
184.5685425,184.5685425,1119,1172,1132,1136,1116,1154,1164,1164
183.4159851,183.4159851,1112,1167,1133,1135,1114,1150,1157,1157
181.8336487,181.8336487,1105,1173,1140,1141,1123,1156,1161,1161
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
187.3083344,187.3083344,1144,1185,1163,1166,1145,1164,1168,1168
189.3253326,189.3253326,1137,1194,1167,1170,1150,1172,1178,1178
192.9344177,192.9344177,1130,1207,1159,1164,1146,1184,1202,1202
197.5886383,197.5886383,1145,1219,1170,1177,1158,1198,1215,1215
195.8304901,195.8304901,1130,1205,1167,1171,1150,1185,1200,1200
190.6292877,190.6292877,1117,1193,1163,1167,1145,1174,1186,1186
187.9139252,187.9041595,1147,1190,1166,1169,1148,1171,1178,1178
196.5386353,196.5386353,1166,1216,1182,1191,1171,1197,1208,1208
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
184.7346039,184.7346039,1117,1198,1163,1167,1148,1178,1184,1184
187.7332306,187.7381134,1122,1199,1162,1166,1146,1179,1189,1189
,,,,,,,,,
,,,,,,,,,
198.3114471,198.3114471,1142,1221,1170,1177,1153,1199,1217,1217
198.1258545,198.1258545,1135,1206,1164,1170,1143,1190,1197,1197
195.5667725,195.5667725,1131,1202,1168,1174,1147,1187,1193,1193
198.5605164,198.5605164,1130,1209,1169,1176,1146,1194,1200,1200
193.9942017,193.9942017,1138,1201,1169,1173,1147,1186,1196,1196
194.5069885,194.5069885,1143,1209,1171,1178,1150,1196,1200,1200
193.5400085,193.5400085,1144,1209,1174,1181,1152,1195,1206,1206
192.9246521,192.9246521,1149,1212,1174,1183,1153,1197,1209,1209
193.0955811,193.0955811,1138,1216,1176,1184,1154,1201,1209,1209
192.2116241,192.2116241,1139,1214,1177,1186,1157,1201,1206,1206
190.3655701,190.3655701,1136,1212,1177,1182,1153,1198,1204,1204
189.935791,189.935791,1163,1195,1165,1171,1142,1182,1188,1188
189.9406891,189.9406891,1162,1208,1178,1186,1157,1194,1200,1200
189.0615997,189.0615997,1161,1204,1172,1181,1155,1192,1196,1196
187.7381134,187.7381134,1160,1202,1170,1177,1150,1191,1194,1194
188.1776428,188.1776428,1163,1203,1172,1180,1154,1194,1197,1197
187.0250854,187.0250854,1164,1206,1173,1181,1153,1194,1199,1199
186.3315887,186.3315887,1187,1208,1173,1179,1152,1193,1203,1203
185.8871613,185.8871613,1167,1203,1172,1178,1152,1185,1198,1198
,,,,,,,,,
,,,,,,,,,
190.3753357,190.3753357,1136,1215,1176,1183,1158,1196,1202,1202
194.5167542,194.5167542,1136,1221,1183,1188,1164,1204,1210,1210
197.1588745,197.1588745,1169,1217,1178,1184,1157,1200,1212,1212
196.9830627,196.9830627,1165,1213,1181,1188,1161,1197,1201,1201
191.9576721,191.9576721,1177,1191,1167,1169,1140,1172,1176,1176
190.1995239,190.1995239,1154,1199,1170,1174,1150,1179,1184,1184
190.3704529,190.3704529,1131,1209,1165,1167,1144,1188,1200,1200
191.9576721,191.9576721,1138,1212,1172,1172,1151,1196,1206,1206
193.8037262,193.8037262,1139,1217,1174,1179,1155,1201,1211,1211
191.0737152,191.0737152,1135,1208,1171,1174,1152,1191,1203,1203
188.7881165,188.7881165,1135,1208,1169,1173,1150,1191,1202,1202
189.315567,189.315567,1128,1210,1173,1178,1156,1194,1203,1203
186.3169403,186.3169403,1129,1204,1174,1177,1151,1187,1191,1191
185.0032043,185.0032043,1123,1201,1170,1173,1147,1183,1191,1191
184.299942,184.299942,1122,1200,1168,1173,1149,1182,1186,1186
185.1887817,185.1887817,1176,1200,1167,1173,1149,1183,1186,1186
184.5636597,184.5636597,1123,1201,1167,1169,1147,1186,1186,1186
183.8652954,183.8652954,1133,1198,1166,1169,1147,1179,1182,1182
183.6845856,183.6845856,1138,1207,1173,1176,1155,1189,1192,1192
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
191.0932465,191.0932465,1150,1208,1175,1178,1157,1189,1195,1195
190.9223175,190.9223175,1122,1203,1165,1167,1145,1186,1189,1189
189.4962616,189.4962616,1118,1196,1164,1167,1144,1176,1180,1180
188.7832336,188.7832336,1125,1197,1155,1157,1134,1180,1184,1184
190.6292877,190.6292877,1148,1200,1148,1152,1130,1181,1195,1195
190.1946411,190.1946411,1146,1198,1151,1153,1129,1179,1194,1194
189.4913788,189.4913788,1135,1204,1167,1168,1147,1188,1198,1198
191.5132446,191.5132446,1144,1216,1182,1186,1162,1198,1207,1207
187.7234497,187.7234497,1141,1195,1167,1172,1146,1178,1184,1184
185.442749,185.442749,1137,1190,1162,1167,1143,1172,1178,1178
185.8773956,185.8773956,1150,1189,1162,1166,1142,1172,1177,1177
186.7564697,186.7564697,1150,1196,1166,1172,1148,1179,1186,1186
186.580658,186.580658,1151,1198,1168,1174,1150,1182,1186,1186
185.7015839,185.7015839,1154,1197,1166,1172,1150,1179,1183,1183
186.1362305,186.1362305,1165,1193,1163,1169,1147,1175,1177,1177
184.9934387,184.9934387,1165,1187,1159,1163,1141,1171,1172,1172
185.1643677,185.1643677,1159,1192,1164,1167,1146,1175,1177,1177
182.70784,182.70784,1167,1185,1156,1161,1140,1168,1170,1170
183.4159851,183.4159851,1155,1179,1152,1155,1135,1161,1164,1164
182.2731781,182.2731781,1151,1179,1152,1157,1134,1161,1162,1162
181.565033,181.565033,1155,1176,1150,1153,1134,1159,1160,1160
182.5466766,182.5466766,1161,1165,1139,1144,1123,1146,1148,1148
185.4525146,185.4525146,1166,1180,1153,1157,1136,1160,1164,1164
188.6171875,188.6171875,1174,1190,1162,1169,1145,1170,1172,1172
191.9723206,191.9723206,1173,1196,1168,1175,1151,1179,1182,1182
194.2530365,194.2530365,1189,1200,1170,1178,1153,1183,1189,1189
196.5484009,196.5484009,1188,1208,1176,1186,1160,1190,1197,1197
196.5435181,196.5435181,1174,1219,1184,1199,1170,1202,1209,1209
196.0111847,196.0111847,1172,1216,1185,1193,1168,1199,1206,1206
191.0737152,191.0737152,1150,1213,1178,1188,1162,1195,1202,1202
188.6074219,188.6074219,1125,1209,1164,1170,1150,1191,1199,1199
186.7564697,186.7564697,1122,1205,1162,1170,1150,1185,1191,1191
182.9666748,182.9666748,1110,1187,1153,1158,1137,1168,1173,1173
182.9666748,182.9715576,1113,1190,1151,1154,1131,1171,1177,1177
185.7015839,185.7015839,1126,1206,1159,1163,1139,1189,1199,1199
186.7662354,186.7662354,1130,1199,1151,1158,1133,1179,1191,1191
185.442749,185.442749,1132,1200,1151,1157,1132,1182,1194,1194
184.2950592,184.2950592,1130,1197,1153,1154,1131,1180,1191,1191
185.8822784,185.8822784,1134,1200,1160,1165,1140,1184,1193,1193
185.0032043,185.0032043,1147,1198,1151,1157,1130,1181,1191,1191
185.1790161,185.1790161,1139,1200,1152,1157,1133,1182,1197,1197
185.442749,185.442749,1140,1198,1153,1157,1129,1183,1195,1195
184.2950592,184.2950592,1148,1203,1154,1159,1134,1190,1199,1199
184.1241302,184.1241302,1132,1203,1171,1177,1150,1187,1193,1193
182.9764404,182.9764404,1138,1207,1165,1170,1143,1191,1198,1198
183.8555145,183.8555145,1157,1203,1175,1179,1154,1188,1190,1190
188.3534546,188.3534546,1141,1214,1171,1176,1149,1198,1207,1207
195.5716553,195.5716553,1143,1207,1170,1177,1148,1194,1203,1203
193.1004791,193.1004791,1134,1215,1176,1182,1155,1200,1207,1207
195.3909607,195.3909607,1139,1215,1176,1183,1158,1202,1205,1205
194.9465332,194.9465332,1134,1212,1171,1178,1152,1200,1206,1206
192.6609344,192.6609344,1127,1206,1169,1176,1148,1193,1198,1198
190.9027863,190.9027863,1130,1203,1163,1169,1144,1188,1189,1189
188.1678772,188.1678772,1125,1198,1160,1165,1140,1182,1181,1181
187.0153046,187.0153046,1127,1202,1161,1168,1142,1186,1186,1186
185.4329681,185.4329681,1127,1199,1157,1161,1136,1183,1185,1185
184.2901764,184.2901764,1140,1195,1149,1154,1130,1180,1182,1182
185.8773956,185.8773956,1143,1197,1151,1157,1130,1184,1187,1187
187.2790375,187.2790375,1148,1201,1152,1158,1130,1188,1192,1192
187.0104218,187.0104218,1144,1201,1152,1159,1130,1187,1193,1193
185.696701,185.696701,1146,1203,1153,1160,1132,1191,1194,1194
185.1790161,185.1790161,1145,1204,1156,1160,1133,1191,1195,1195
186.7662354,186.7662354,1145,1214,1174,1177,1150,1201,1201,1201
186.3267059,186.3267059,1146,1214,1172,1176,1150,1201,1203,1203
187.3034515,187.3034515,1143,1214,1174,1180,1154,1203,1203,1203
184.1290131,184.1290131,1140,1208,1177,1182,1155,1195,1193,1193
182.0973663,182.0973663,1141,1204,1175,1181,1153,1191,1190,1190
182.2682953,182.2731781,1144,1211,1176,1180,1154,1199,1194,1194
185.7064667,185.7064667,1165,1221,1185,1189,1164,1209,1208,1208
