JW Temp,Oil Temp,Exh Right Temp,Exh Left Temp,Exh Cyl #1 Temp,Exh Cyl #2 Temp,Exh Cyl #3 Temp,Exh Cyl #4 Temp,Exh Cyl #5 Temp,Exh Cyl #6 Temp
194.7023468,194.7023468,1158.0,1171.0,1157.0,1187.0,1142.0,1160.0,1182.0,1182.0
196.9830627,196.9830627,1158.0,1171.0,1170.0,1187.0,1156.0,1160.0,1182.0,1182.0
196.2749176,196.2749176,1157.0,1171.0,1168.0,1186.0,1156.0,1160.0,1180.0,1180.0
192.4020996,192.4020996,1139.0,1168.0,1167.0,1183.0,1154.0,1158.0,1176.0,1176.0
191.9576721,191.9576721,1166.0,1172.0,1167.0,1184.0,1155.0,1164.0,1182.0,1182.0
194.951416,194.951416,1163.0,1186.0,1176.0,1195.0,1170.0,1178.0,1196.0,1196.0
194.951416,194.951416,1191.0,1185.0,1174.0,1196.0,1167.0,1179.0,1196.0,1196.0
192.9246521,192.9246521,1137.0,1189.0,1172.0,1195.0,1169.0,1183.0,1202.0,1202.0
193.359314,193.3641968,1145.0,1192.0,1172.0,1192.0,1168.0,1187.0,1204.0,1204.0
195.1125793,195.1125793,1137.0,1199.0,1178.0,1206.0,1180.0,1193.0,1211.0,1211.0
198.1160889,198.1160889,1176.0,1199.0,1186.0,1211.0,1184.0,1191.0,1208.0,1208.0
196.7242126,196.7242126,1204.0,1195.0,1179.0,1206.0,1182.0,1189.0,1204.0,1204.0
193.0906982,193.0906982,1168.0,1205.0,1188.0,1216.0,1191.0,1196.0,1212.0,1212.0
192.2116241,192.2116241,1165.0,1206.0,1187.0,1215.0,1191.0,1197.0,1214.0,1214.0
193.0955811,193.0955811,1182.0,1195.0,1178.0,1204.0,1180.0,1187.0,1202.0,1202.0
192.6658173,192.6658173,1181.0,1193.0,1178.0,1202.0,1179.0,1185.0,1201.0,1201.0
193.1004791,193.1004791,1204.0,1201.0,1184.0,1212.0,1187.0,1193.0,1209.0,1209.0
192.9295349,192.9246521,1171.0,1205.0,1187.0,1214.0,1189.0,1196.0,1212.0,1212.0
192.3874512,192.392334,1175.0,1204.0,1187.0,1214.0,1188.0,1195.0,1211.0,1211.0
194.5069885,194.5069885,1191.0,1184.0,1171.0,1196.0,1169.0,1181.0,1195.0,1195.0
194.6779327,194.6779327,1203.0,1197.0,1182.0,1209.0,1182.0,1190.0,1205.0,1205.0
195.3811798,195.3811798,1197.0,1193.0,1180.0,1203.0,1178.0,1187.0,1202.0,1202.0
196.9732971,196.9732971,1197.0,1189.0,1178.0,1202.0,1175.0,1185.0,1197.0,1197.0
197.4177094,197.4177094,1192.0,1190.0,1176.0,1201.0,1175.0,1183.0,1199.0,1199.0
196.2700348,196.2700348,1176.0,1177.0,1171.0,1193.0,1160.0,1170.0,1187.0,1187.0
192.4020996,192.4020996,1153.0,1174.0,1167.0,1190.0,1158.0,1167.0,1183.0,1183.0
195.1272278,195.1272278,1174.0,1182.0,1173.0,1195.0,1164.0,1176.0,1192.0,1192.0
191.5083618,191.5083618,1154.0,1179.0,1171.0,1193.0,1161.0,1174.0,1189.0,1189.0
190.3606873,190.3606873,1146.0,1177.0,1169.0,1192.0,1159.0,1172.0,1187.0,1187.0
194.6779327,194.6779327,1164.0,1190.0,1177.0,1202.0,1173.0,1183.0,1198.0,1198.0
194.2481537,194.2481537,1165.0,1198.0,1182.0,1206.0,1178.0,1192.0,1206.0,1206.0
194.2432709,194.2432709,1186.0,1190.0,1179.0,1202.0,1174.0,1184.0,1201.0,1201.0
194.4972229,194.4972229,1138.0,1201.0,1179.0,1203.0,1178.0,1196.0,1210.0,1210.0
195.1174622,195.1174622,1150.0,1205.0,1180.0,1205.0,1180.0,1196.0,1215.0,1215.0
194.2432709,194.2432709,1167.0,1199.0,1182.0,1207.0,1181.0,1191.0,1209.0,1209.0
195.4007263,195.4007263,1203.0,1207.0,1188.0,1216.0,1190.0,1198.0,1216.0,1216.0
193.5351257,193.5351257,1166.0,1206.0,1179.0,1205.0,1181.0,1199.0,1216.0,1216.0
191.9479065,191.9479065,1157.0,1202.0,1185.0,1210.0,1185.0,1194.0,1209.0,1209.0
192.3972168,192.392334,1168.0,1207.0,1187.0,1215.0,1189.0,1199.0,1216.0,1216.0
191.9625549,191.9625549,1188.0,1196.0,1178.0,1205.0,1180.0,1189.0,1206.0,1206.0
192.6804657,192.6804657,1193.0,1191.0,1173.0,1199.0,1174.0,1184.0,1199.0,1199.0
193.1053619,193.1053619,1187.0,1204.0,1185.0,1214.0,1187.0,1198.0,1214.0,1214.0
191.9430237,191.9430237,1176.0,1210.0,1190.0,1220.0,1192.0,1201.0,1217.0,1217.0
192.2067413,192.2067413,1181.0,1202.0,1183.0,1212.0,1186.0,1196.0,1210.0,1210.0
